lat,lon,waypoint_id,date,run_index,risk_score,risk_summary,wind_speed_kn,wind_speed_risk,wind_gusts_kn,wind_gusts_risk,wind_direction,weather,rain_mm,rain_risk
32.1,34.75,1,31-03-2026,1.0,22.1,Low Risk,5.7,Low Risk,11.3,Low Risk,W,Overcast,0.0,Low Risk
32.1,34.75,2,01-04-2026,2.0,40.6,Moderate Risk,9.7,Low Risk,16.1,Moderate Risk,E,Moderate Drizzle,1.9,Low Risk
32.1,34.75,3,02-04-2026,3.0,50.2,Moderate Risk,10.7,Low Risk,20.2,Moderate Risk,SE,Moderate Drizzle,4.8,Moderate Risk
32.1,34.75,4,03-04-2026,4.0,29.9,Low Risk,6.9,Low Risk,17.5,Moderate Risk,NW,Overcast,0.1,Low Risk
32.1,34.75,5,04-04-2026,5.0,33.0,Low Risk,9.3,Low Risk,21.8,Moderate Risk,W,Clear sky,0.0,Low Risk
32.1,34.75,6,05-04-2026,6.0,37.6,Low Risk,10.6,Low Risk,24.9,Moderate Risk,SW,Mainly clear,0.0,Low Risk
32.1,34.75,7,06-04-2026,7.0,39.9,Low Risk,8.6,Low Risk,21.4,Moderate Risk,W,Light Drizzle,0.1,Low Risk
32.15,34.75,8,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.2,34.75,9,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.25,34.75,10,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.3,34.75,11,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.35,34.75,12,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.4,34.75,13,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.45,34.7,14,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.5,34.65,15,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.55,34.6,16,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.6,34.55,17,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.65,34.5,18,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.7,34.45,19,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.75,34.4,20,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.8,34.35,21,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.85,34.3,22,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.9,34.25,23,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
32.95,34.2,24,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
33.0,34.15,25,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
33.05,34.1,26,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
33.1,34.05,27,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
33.15,34.0,28,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
33.2,33.95,29,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
33.25,33.9,30,31-03-2026,1.0,35.9,Low Risk,12.0,Low Risk,17.5,Moderate Risk,W,Overcast,0.0,Low Risk
33.25,33.9,31,01-04-2026,2.0,64.0,Moderate Risk,15.9,Moderate Risk,29.4,High Risk,E,Moderate Drizzle,3.7,Moderate Risk
